Abbr,Definition,Sentence
PUM,Persatuan Ulama Malaysia," PUM dalam satu kenyataan hari ini berkata, usahawan perlu menghormati prosedur operasi standard (SOP) ditetapkan JAKIM, yang turut dijadikan rujukan pelbagai pihak di peringkat antarabangsa."
RKK,Runda Kumpulan Kecil,Dua lelaki itu dipercayai anggota RKK yang terbabit dalam kejadian pembunuhan empat sekeluarga baru-baru ini.
PJLA,PJ Live Arts,Itulah intipati teater Super Ptui & Transit Kaler Magenta yang bakal menemui penonton di PJLA pada 27 Februari hingga 1 Mac ini.
BNPB,Badan Nasional Pengurusan Bencana," BNPB berkata, sejak letusan bermula beberapa minggu lalu seramai 7,214 penduduk terpaksa dipindahkan."
US,Untuk Seniman,PEMINAT nombor pendaftaran khas kini boleh membida plat kenderaan khas US yang dikeluarkan oleh Jabatan Pengangkutan Jalan (JPJ) kepada Persatuan Seniman Malaysia (SENIMAN) .
DC,District of Columbia,"Berikut adalah perkara penting dalam sistem pilihan raya AS: *Undian, menerusi hak undi sejagat, dijalankan dalam pusingan tunggal di semua 50 negeri dan DC (bandar di Washington, yang bukan sebahagian mana-mana negeri) ."
MKT,Majlis Kerja Tertinggi,"Sebelum ini, anggota MKT sayap Wanita Pusat PBB, Faridah Osman juga disebut-sebut mahu menjadi calon di Balingian namun dijangka tidak berbuat demikian selepas dilantik menjadi Setiausaha Politik kepada Ketua Menteri, baru-baru ini."
BIS,British Invention Show,"Pelajar Fakulti Perubatan dan Sains Kesihatan, Muhammad Akmal Sallahuddin (kiri) dan Balqis Muhammad Kasim (kanan) bersama pingat dan anugerah yang dimenangi sempena pertandingan inovasi BIS di London, baru-baru ini."
BAC,Brickfields Asia College,"Sebagai contoh, katanya, pertubuhan bukan kerajaan (NGO) dan ditaja sepenuhnya oleh BAC membantu dalam melonjakkan kualiti pendidikan di Malaysia."
HS,Heamoragic Septicaemia,"TIGA puluh lapan lembu dilaporkan mati di Kampung Padang Pulut, Dungun, dipercayai diserang penyakit hawar berdarah atau dikenali HS sejak Aidilfitri lalu."
HEPA,Hal Ehwal Pelajar dan Alumni,Zainab yang memiliki Ijazah Doktor Falsafah Pendidikan daripada Nova Southeastern University Florida mula berkhidmat di UPSI pada April 2002 sebagai Timbalan Pendaftar di Jabatan HEPA sehingga Mac 2007.
PPKI,Pusat Pendidikan Khas Integrasi,"Beliau berkata demikian ketika merasmikan bilik terapi multisensory PPKI SK Bukit Sekilau, di sini, semalam."
PIBK,Penglibatan Ibu Bapa dan Komuniti,"Pengerusi PIBK Sekolah Kebangsaan (SK) Lok Heng Selatan, Maizura Mohd Yussof, berkata krisis air kali ini agak merunsingkan kerana tangki simpanan air di sekolah tidak dapat menampung keperluan warga sekolah."
KK,Klinik Kesihatan,"Beliau berkata daripada jumlah berkenaan, 11 premis kesihatan yang mengalami kerosakan di Ranau ialah lima Klinik Desa (KD) , empat KK , sebuah klinik ibu dan anak (KIA) dan sebuah kuarters Hospital Ranau manakala kerosakan di Tuaran pula ialah masing-masing satu KK dan KIA serta enam KD."
PPN,Perniagaan & Pembinaan Noor,"Batu Pahat: PPN , merancang untuk mempelbagaikan lagi segmen perniagaan dengan membuka kilang pembuataan longkang dan zink menjelang 2020."
BIPP,Bonus Insentif Produktiviti Peneroka,"display (div-gpt-ad-1406188242562-0) ; Selain itu, Felda juga akan membayar BIPP kepada 93,891 peneroka seluruh negara pada Rabu dan Khamis ini, katanya."
SIMP,Sri Indera Mahkota Pahang,"Seramai tiga individu menerima SIMP yng membawa gelaran Datuk Indera iaitu Pengarah Bahagian Perkhidmatan Jabatan Perkhidmatan Awam (JPA) , Datuk Noridah Abdul Rahim; Timbalan Ketua Setiausaha (Pengurusan) Kementerian Kesejahteraan Bandar, Perumahan dan Kerajaan Tempatan, Khairul Dzaimee Daud dan Pegawai Kemajuan Negeri Terengganu, Datuk Nik Nasarudin Mohd Zawawi."
JB,jam biologi,TUBUH setiap individu mempunyai JB tersendiri yang dikawal oleh sekumpulan sel pada bahagian otak manusia (hipotalamus) .
PPD,Pejabat Pendidikan Daerah,"Pada masa sama, Tajul berkata, pihaknya juga akan menghadiri mesyuarat penyelarasan bancian status terkini bersama agensi berkaitan termasuk PPD , petang ini."
AI,Air India,MUMBAI: Sebuah pesawat AI yang membawa 240 penumpang dari Mumbai ke London terpaksa berpatah balik selepas kru kabin ternampak tikus di dalam penerbangan itu semalam.
WIM,Written Instructional Material,"Menerusi memorandum itu, pihak JPAM akan bekerjasama dengan Giatmara dalam usaha membangunkan Kurikulum Modul dan WIM Asas Pengurusan Keselamatan dan Kecemasan di tempat kerja."
IPTA,institusi pendidikan tinggi awam,"Sementara itu, Mohd Azhar berkata, sebanyak 222 produk dan teknologi daripada pelbagai agensi kerajaan, selain IPTA dan swasta (IPTS) dicalonkan untuk MCY2."
YWP,Yayasan Wilayah Persekutuan,"Turut diadakan ialah sesi kuliah dan sarapan pagi disediakan kepada semua murid dan pelajar terlibat, katanya semasa berucap pada majlis penyerahan cek skim bantuan awal ke Institusi Pengajian Tinggi (IPT) kali ke 12/2015 YWP di sini hari ini."
PTD,Perkhidmatan Tadbir dan Diplomatik,"Ali berkata, Suriani berkhidmat dalam perkhidmatan awam selama 23 tahun sebagai pegawai PTD ."
HSC,Hero Seorang Cinderella,"Sebelum ini, apabila nama bintang HSC itu disebut-sebut memegang watak utama atau mengikut naskhah asal dikenali sebagai Choi Han Gyul, ramai netizen tidak bersetuju."
MSP,Majlis Sukan Politeknik," MSP Hornet pula menewaskan pasukan UIAM Mustang untuk meraih tempat ketiga dengan hadiah wang tunai keseluruhan yang ditawarkan RM9,500."
MOP,MITSUI Outlet Park,"SEPANG: Perdana Menteri, Datuk Seri Najib Tun Razak menggesa syarikat yang beroperasi di Mitsui Outlet Park (MOP) KLIA di sini, yang juga antara Projek Permulaan (EPP) , menawarkan harga paling rendah bagi menarik lebih ramai pelanggan."
EDM,electronic dance music,"Terbukti, duo yang dianggotai Andrew Taggart dan Alex Pall yang memperjuangkan Electronic Dance Music (EDM) ini serius menghasilkan karya yang bermutu."
PPRT,Program Pembangunan Rakyat Termiskin,"Sementara itu, Timbalan Pegawai Daerah Kluang Mustafa Kamal Abdullah yang membuat tinjauan ke kediaman wanita itu berkata, pihaknya akan mengusahakan bantuan dengan memindahkan keluarga berkenaan ke rumah sewa sekitar Kampung Tengah, Kluang bagi memudahkan dua anaknya itu ke sekolah sementara menanti rumah PPRT di Taman Bersatu siap dipasang kemudahan asas."
